Release Date,Title,MCU_PHASE,TOMATO_METER,Production Budget,Opening  Weekend,Domestic Box Office,Worldwide Box Office,ROI
02/05/2008,Iron Man,1,0.94,186000000.00,102118668.00,318604126.00,584877827.00,2.144504446
13/06/2008,The Incredible Hulk,1,0.67,137500000.00,55414050.00,134806913.00,265573859.00,0.931446247
07/05/2010,Iron Man 2,1,0.72,170000000.00,128122480.00,312433331.00,621156389.00,2.653861112
06/05/2011,Thor,1,0.77,150000000.00,65723338.00,181030624.00,449326618.00,1.995510787
22/07/2011,Captain America: The First …,1,0.79,140000000.00,65058524.00,176654505.00,370569776.00,1.646926971
04/05/2012,The Avengers,1,0.91,225000000.00,207438708.00,623357910.00,1515100211.00,5.733778716
03/05/2013,Iron Man 3,2,0.79,200000000.00,174144585.00,408992272.00,1214630956.00,5.07315478
08/11/2013,Thor: The Dark World,2,0.66,150000000.00,85737841.00,206362140.00,644602516.00,3.297350107
04/04/2014,Captain America: The Winter…,2,0.90,170000000.00,95023721.00,259746958.00,714401889.00,3.202364053
01/08/2014,Guardians of the Galaxy,2,0.92,170000000.00,94320883.00,333714112.00,770882395.00,3.534602324
01/05/2015,Avengers: Age of Ultron,2,0.76,365000000.00,191271109.00,459005868.00,1395316979.00,2.822786244
17/07/2015,Ant-Man,2,0.83,130000000.00,57225526.00,180202163.00,518858449.00,2.991218838
06/05/2016,Captain America: Civil War,3,0.90,250000000.00,179139142.00,408084349.00,1151899586.00,3.607598344
04/11/2016,Doctor Strange,3,0.89,165000000.00,85058311.00,232641920.00,676343174.00,3.099049539
05/05/2017,Guardians of the Galaxy Vol 2,3,0.85,200000000.00,146510104.00,389813101.00,869087963.00,3.345439815
07/07/2017,Spider-Man: Homecoming,3,0.92,175000000.00,117027503.00,334580976.00,878852749.00,4.022015709
03/11/2017,Thor: Ragnarok,3,0.93,180000000.00,122744989.00,315058289.00,850482778.00,3.724904322
16/02/2018,Black Panther,3,0.96,200000000.00,202003951.00,700059566.00,1334157082.00,5.67078541
27/04/2018,Avengers: Infinity War,3,0.85,300000000.00,257698183.00,678815482.00,2048359754.00,5.827865847
06/07/2018,Ant-Man and the Wasp,3,0.87,130000000.00,75812205.00,216648740.00,623144660.00,3.793420462
08/03/2019,Captain Marvel,3,0.79,175000000.00,153433423.00,426829839.00,1129576094.00,5.454720537
26/04/2019,Avengers: Endgame,3,0.94,400000000.00,357115007.00,858373000.00,2717503922.00,5.793759805
02/07/2019,Spider-Man: Far From Home,3,0.90,160000000.00,92579212.00,391362492.00,1132298674.00,6.076866713
09/07/2021,Black Widow,4,0.79,200000000.00,80366312.00,183651655.00,379751131.00,0.898755655
03/09/2019,Shang-Chi and the Legend of…,4,0.91,150000000.00,75388688.00,224543292.00,432224634.00,1.88149756
05/11/2021,Eternals,4,0.47,200000000.00,71297219.00,164870264.00,401731759.00,1.008658795
17/12/2021,Spider-Man: No Way Home,4,0.93,200000000.00,260138569.00,814811535.00,1921206586.00,8.60603293
06/05/2022,Doctor Strange in the Multi…,4,0.73,200000000.00,187420998.00,411331607.00,952224986.00,3.76112493
08/07/2022,Thor: Love and Thunder,4,0.63,250000000.00,144165107.00,343256830.00,760928081.00,2.043712324
11/11/2022,Black Panther: Wakanda Forever,4,0.84,250000000.00,181339761.00,453829060.00,859208836.00,2.436835344
17/02/2023,Ant-Man and the Wasp: Quant…,5,0.46,200000000.00,106109650.00,214506909.00,476073180.00,1.3803659
05/05/2023,Guardians of the Galaxy Vol 3,5,0.82,250000000.00,118414021.00,358995815.00,845555777.00,2.382223108
10/11/2023,The Marvels,5,0.62,270000000.00,46110859.00,84500223.00,199706250.00,-0.260347222
16/07/2024,Deadpool & Wolverine,5,0.78,200000000.00,211435291.00,636745858.00,1338071348.00,5.69035674
14/02/2025,Captain America: Brave New …,5,0.46,180000000.00,88842603.00,200500001.00,413640021.00,1.298000117
02/05/2025,Thunderbolts*,5,0.88,180000000.00,74300608.00,190257484.00,382419521.00,1.124552894
25/07/2025,The Fantastic Four: First S…,5,0.86,200000000.00,117644828.00,201668068.00,371952427.00,0.859762135
